icd_code,category,subcategory,description
290,Mental Disorders,Organic Psychotic Conditions,Senile And Presenile Organic Psychotic Conditions
291,Mental Disorders,Organic Psychotic Conditions,Alcoholic Psychoses
292,Mental Disorders,Organic Psychotic Conditions,Drug Psychoses
293,Mental Disorders,Organic Psychotic Conditions,Transient Organic Psychotic Conditions
294,Mental Disorders,Organic Psychotic Conditions,Other Organic Psychotic Conditions (Chronic)
295,Mental Disorders,Other Psychoses,Schizophrenic Psychoses
296,Mental Disorders,Other Psychoses,Affective Psychoses
297,Mental Disorders,Other Psychoses,Paranoid States
298,Mental Disorders,Other Psychoses,Other Nonorganic Psychoses
299,Mental Disorders,Other Psychoses,Psychoses With Origin Specific To Childhood
300,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Neurotic Disorders
301,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Personality Disorders
302,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Sexual Deviations And Disorders
303,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Alcohol Dependence Syndrome
304,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Drug Dependence
305,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Nondependent Abuse Of Drugs
306,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Physiological Malfunction Arising From Mental Factors
307,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders","Special Symptoms Or Syndromes, Not Elsewhere Classified"
308,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Acute Reaction To Stress
309,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Adjustment Reaction
310,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Specific Nonpsychotic Mental Disorders Following Organic Brain Damage
311,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders","Depressive Disorder, Not Elsewhere Classified"
312,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders","Disturbance Of Conduct, Not Elsewhere Classified"
313,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Disturbance Of Emotions Specific To Childhood And Adolescence
314,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Hyperkinetic Syndrome Of Childhood
315,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Specific Delays In Development
316,Mental Disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Psychic Factors Associated With Diseases Classified Elsewhere
317,Mental Disorders,Mental Retardation,Mild Mental Retardation
318,Mental Disorders,Mental Retardation,Other Specified Mental Retardation
319,Mental Disorders,Mental Retardation,Unspecified Mental Retardation
320,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,Bacterial Meningitis
321,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,Meningitis Due To Other Organisms
322,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,Meningitis Of Unspecified Cause
323,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,"Encephalitis, Myelitis, And Encephalomyelitis"
324,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,Intracranial And Intraspinal Abscess
325,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,Phlebitis And Thrombophlebitis Of Intracranial Venous Sinuses
326,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,Late Effects Of Intracranial Abscess Or Pyogenic Infection
327,Diseases Of The Nervous System And Sense Organs,Inflammatory Diseases Of The Central Nervous System,Organic Sleep Disorders
330,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Cerebral Degenerations Usually Manifest In Childhood
331,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Other Cerebral Degenerations
332,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Parkinson'S Disease
333,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Other Extrapyramidal Disease And Abnormal Movement Disorders
334,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Spinocerebellar Disease
335,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Anterior Horn Cell Disease
336,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Other Diseases Of Spinal Cord
337,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Disorders Of The Autonomic Nervous System
338,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,"Pain, Not Elsewhere Classified"
339,Diseases Of The Nervous System And Sense Organs,Hereditary And Degenerative Diseases Of The Central Nervous System,Other Headache Syndromes
340,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Multiple Sclerosis
341,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Other Demyelinating Diseases Of Central Nervous System
342,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Hemiplegia And Hemiparesis
343,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Infantile Cerebral Palsy
344,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Other Paralytic Syndromes
345,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Epilepsy
346,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Migraine
347,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Cataplexy And Narcolepsy
348,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Other Conditions Of Brain
349,Diseases Of The Nervous System And Sense Organs,Other Disorders Of The Central Nervous System,Other And Unspecified Disorders Of The Nervous System
350,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Trigeminal Nerve Disorders
351,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Facial Nerve Disorders
352,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Disorders Of Other Cranial Nerves
353,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Nerve Root And Plexus Disorders
354,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Mononeuritis Of Upper Limb And Mononeuritis Multiplex
355,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Mononeuritis Of Lower Limb
356,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Hereditary And Idiopathic Peripheral Neuropathy
357,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Inflammatory And Toxic Neuropathy
358,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Myoneural Disorders
359,Diseases Of The Nervous System And Sense Organs,Disorders Of The Peripheral Nervous System,Muscular Dystrophies And Other Myopathies
360,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders Of The Globe
361,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Retinal Detachments And Defects
362,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other Retinal Disorders
363,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Chorioretinal Inflammations And Scars And Other Disorders Of Choroid
364,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders Of Iris And Ciliary Body
365,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Glaucoma
366,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Cataract
367,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders Of Refraction And Accommodation
368,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Visual Disturbances
369,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Blindness And Low Vision
370,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Keratitis
371,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Corneal Opacity And Other Disorders Of Cornea
372,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders Of Conjunctiva
373,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Inflammation Of Eyelids
374,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other Disorders Of Eyelids
375,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders Of Lacrimal System
376,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders Of The Orbit
377,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders Of Optic Nerve And Visual Pathways
378,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus And Other Disorders Of Binocular Eye Movements
379,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other Disorders Of Eye
380,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Disorders Of External Ear
381,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Nonsuppurative Otitis Media And Eustachian Tube Disorders
382,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Suppurative And Unspecified Otitis Media
383,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Mastoiditis And Related Conditions
384,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Other Disorders Of Tympanic Membrane
385,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Other Disorders Of Middle Ear And Mastoid
386,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Vertiginous Syndromes And Other Disorders Of Vestibular System
387,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Otosclerosis
388,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Other Disorders Of Ear
389,Diseases Of The Nervous System And Sense Organs,Diseases Of The Ear And Mastoid Process,Hearing Loss
390,Diseases Of The Circulatory System,Acute Rheumatic Fever,Rheumatic Fever Without Mention Of Heart Involvement
391,Diseases Of The Circulatory System,Acute Rheumatic Fever,Rheumatic Fever With Heart Involvement
392,Diseases Of The Circulatory System,Acute Rheumatic Fever,Rheumatic Chorea
393,Diseases Of The Circulatory System,Chronic Rheumatic Heart Disease,Chronic Rheumatic Pericarditis
394,Diseases Of The Circulatory System,Chronic Rheumatic Heart Disease,Diseases Of Mitral Valve
395,Diseases Of The Circulatory System,Chronic Rheumatic Heart Disease,Diseases Of Aortic Valve
396,Diseases Of The Circulatory System,Chronic Rheumatic Heart Disease,Diseases Of Mitral And Aortic Valves
397,Diseases Of The Circulatory System,Chronic Rheumatic Heart Disease,Diseases Of Other Endocardial Structures
398,Diseases Of The Circulatory System,Chronic Rheumatic Heart Disease,Other Rheumatic Heart Disease
401,Diseases Of The Circulatory System,Hypertensive Disease,Essential Hypertension
402,Diseases Of The Circulatory System,Hypertensive Disease,Hypertensive Heart Disease
403,Diseases Of The Circulatory System,Hypertensive Disease,Hypertensive Renal Disease
404,Diseases Of The Circulatory System,Hypertensive Disease,Hypertensive Heart And Renal Disease
405,Diseases Of The Circulatory System,Hypertensive Disease,Secondary Hypertension
410,Diseases Of The Circulatory System,Ischemic Heart Disease,Acute Myocardial Infarction
411,Diseases Of The Circulatory System,Ischemic Heart Disease,Other Acute And Subacute Form Of Ischemic Heart Disease
412,Diseases Of The Circulatory System,Ischemic Heart Disease,Old Myocardial Infarction
413,Diseases Of The Circulatory System,Ischemic Heart Disease,Angina Pectoris
414,Diseases Of The Circulatory System,Ischemic Heart Disease,Other Forms Of Chronic Ischemic Heart Disease
415,Diseases Of The Circulatory System,Diseases Of Pulmonary Circulation,Acute Pulmonary Heart Disease
416,Diseases Of The Circulatory System,Diseases Of Pulmonary Circulation,Chronic Pulmonary Heart Disease
417,Diseases Of The Circulatory System,Diseases Of Pulmonary Circulation,Other Diseases Of Pulmonary Circulation
420,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Acute Pericarditis
421,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Acute And Subacute Endocarditis
422,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Acute Myocarditis
423,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Other Diseases Of Pericardium
424,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Other Diseases Of Endocardium
425,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Cardiomyopathy
426,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Conduction Disorders
427,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Cardiac Dysrhythmias
428,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Heart Failure
429,Diseases Of The Circulatory System,Other Forms Of Heart Disease,Ill-Defined Descriptions And Complications Of Heart Disease
430,Diseases Of The Circulatory System,Cerebrovascular Disease,Subarachnoid Hemorrhage
431,Diseases Of The Circulatory System,Cerebrovascular Disease,Intracerebral Hemorrhage
432,Diseases Of The Circulatory System,Cerebrovascular Disease,Other And Unspecified Intracranial Hemorrhage
433,Diseases Of The Circulatory System,Cerebrovascular Disease,Occlusion And Stenosis Of Precerebral Arteries
434,Diseases Of The Circulatory System,Cerebrovascular Disease,Occlusion Of Cerebral Arteries
435,Diseases Of The Circulatory System,Cerebrovascular Disease,Transcient Cerebral Ischemia
436,Diseases Of The Circulatory System,Cerebrovascular Disease,Acute But Ill-Defined Cerebrovascular Disease
437,Diseases Of The Circulatory System,Cerebrovascular Disease,Other And Ill-Defined Cerebrovascular Disease
438,Diseases Of The Circulatory System,Cerebrovascular Disease,Late Effects Of Cerebrovascular Disease
440,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Atherosclerosis
441,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Aortic Aneurysm And Dissection
442,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Other Aneurysm
443,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Other Peripheral Vascular Disease
444,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Arterial Embolism And Thrombosis
445,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Atheroembolism
446,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Polyarteritis Nodosa And Allied Conditions
447,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Other Disorders Of Arteries And Arterioles
448,Diseases Of The Circulatory System,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of Capillaries
451,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Phlebitis And Thrombophlebitis
452,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Portal Vein Thrombosis
453,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Other Venous Embolism And Thrombosis
454,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Varicose Veins Of Lower Extremities
455,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Hemorrhoids
456,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Varicose Veins Of Other Sites
457,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Noninfective Disorders Of Lymphatic Channels
458,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Hypotension
459,Diseases Of The Circulatory System,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Other Disorders Of Circulatory System
460,Diseases Of The Respiratory System,Acute Respiratory Infections,Acute Nasopharyngitis [Common Cold]
461,Diseases Of The Respiratory System,Acute Respiratory Infections,Acute Sinusitis
462,Diseases Of The Respiratory System,Acute Respiratory Infections,Acute Pharyngitis
463,Diseases Of The Respiratory System,Acute Respiratory Infections,Acute Tonsillitis
464,Diseases Of The Respiratory System,Acute Respiratory Infections,Acute Laryngitis And Tracheitis
465,Diseases Of The Respiratory System,Acute Respiratory Infections,Acute Upper Respiratory Infections Of Multiple Or Unspecified Sites
466,Diseases Of The Respiratory System,Acute Respiratory Infections,Acute Bronchitis And Bronchiolitis
470,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Deviated Nasal Septum
471,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Nasal Polyps
472,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Chronic Pharyngitis And Nasopharyngitis
473,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Chronic Sinusitis
474,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Chronic Disease Of Tonsils And Adenoids
475,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Peritonsillar Abscess
476,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Chronic Laryngitis And Laryngotracheitis
477,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Allergic Rhinitis
478,Diseases Of The Respiratory System,Other	Diseases Of Upper Respiratory Tract,Other Diseases Of Upper Respiratory Tract
480,Diseases Of The Respiratory System,Pneumonia And Influenza,Viral Pneumonia
481,Diseases Of The Respiratory System,Pneumonia And Influenza,Pneumococcal Pneumonia [Streptococcus Pneumoniae Pneumonia]
482,Diseases Of The Respiratory System,Pneumonia And Influenza,Other Bacterial Pneumonia
483,Diseases Of The Respiratory System,Pneumonia And Influenza,Pneumonia Due To Other Specified Organism
484,Diseases Of The Respiratory System,Pneumonia And Influenza,Pneumonia In Infectious Diseases Classified Elsewhere
485,Diseases Of The Respiratory System,Pneumonia And Influenza,"Bronchopneumonia, Organism Unspecified"
486,Diseases Of The Respiratory System,Pneumonia And Influenza,"Pneumonia, Organism Unspecified"
487,Diseases Of The Respiratory System,Pneumonia And Influenza,Influenza
488,Diseases Of The Respiratory System,Pneumonia And Influenza,Influenza Due To Identified Avian Influenza Virus
490,Diseases Of The Respiratory System,Chronic Obstructive Pulmonary Disease And Allied Conditions,"Bronchitis, Not Specified As Acute Or Chronic"
491,Diseases Of The Respiratory System,Chronic Obstructive Pulmonary Disease And Allied Conditions,Chronic Bronchitis
492,Diseases Of The Respiratory System,Chronic Obstructive Pulmonary Disease And Allied Conditions,Emphysema
493,Diseases Of The Respiratory System,Chronic Obstructive Pulmonary Disease And Allied Conditions,Asthma
494,Diseases Of The Respiratory System,Chronic Obstructive Pulmonary Disease And Allied Conditions,Bronchiectasis
495,Diseases Of The Respiratory System,Chronic Obstructive Pulmonary Disease And Allied Conditions,Extrinsic Allergic Alveolitis
496,Diseases Of The Respiratory System,Chronic Obstructive Pulmonary Disease And Allied Conditions,"Chronic Airways Obstruction, Not Elsewhere Classified"
500,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Coalworkers' Pneumoconiosis
501,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Asbestosis
502,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Pneumoconiosis Due To Other Silica Or Silicates
503,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Pneumoconiosis Due To Other Inorganic Dust
504,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Pneumopathy Due To Inhalation Of Other Dust
505,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,"Pneumoconiosis, Unspecified"
506,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Respiratory Conditions Due To Chemical Fumes And Vapors
507,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Pneumonitis Due To Solids And Liquids
508,Diseases Of The Respiratory System,Pneumoconioses And Other Lung Diseases Due To External Agents,Respiratory Conditions Due To Other And Unspecified External Agents
510,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Empyema
511,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Pleurisy
512,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Pneumothorax
513,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Abscess Of Lung And Mediastinum
514,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Pulmonary Congestion And Hypostasis
515,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Postinflammatory Pulmonary Fibrosis
516,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Other Alveolar And Parietoalveolar Pneumopathy
517,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Lung Involvement In Conditions Classified Elsewhere
518,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Other Diseases Of Lung
519,Diseases Of The Respiratory System,Other Diseases Of Respiratory System,Other Diseases Of Respiratory System
520,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Disorders Of Tooth Development And Eruption
521,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of Hard Tissues Of Teeth
522,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of Pulp And Periapical Tissues
523,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Gingival And Periodontal Diseases
524,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws","Dentofacial Anomalies, Including Malocclusion"
525,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Other Diseases And Conditions Of The Teeth And Supporting Structures
526,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Jaws
527,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Salivary Glands
528,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws","Diseases Of The Oral Soft Tissues, Excluding Lesions Specific For Gingiva And Tongue"
529,Diseases Of The Digestive System,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases And Other Conditions Of The Tongue
530,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Diseases Of Esophagus
531,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Gastric Ulcer
532,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Duodenal Ulcer
533,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum","Peptic Ulcer, Site Unspecified"
534,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Gastrojejunal Ulcer
535,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Gastritis And Duodenitis
536,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Disorders Of Function Of Stomach
537,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Other Disorders Of Stomach And Duodenum
538,Diseases Of The Digestive System,"Diseases Of Esophagus, Stomach, And Duodenum",Gastrointestinal Mucositis (Ulcerative)
540,Diseases Of The Digestive System,Appendicitis,Acute Appendicitis
541,Diseases Of The Digestive System,Appendicitis,"Appendicitis, Unqualified"
542,Diseases Of The Digestive System,Appendicitis,Other Appendicitis
543,Diseases Of The Digestive System,Appendicitis,Other Diseases Of Appendix
550,Diseases Of The Digestive System,Hernia Of Abdominal Cavity,Inguinal Hernia
551,Diseases Of The Digestive System,Hernia Of Abdominal Cavity,"Other Hernia Of Abdominal Cavity, With Gangrene"
552,Diseases Of The Digestive System,Hernia Of Abdominal Cavity,"Other Hernia Of Abdominal Cavity, With Obstruction, But Without Mention Of Gangrene"
553,Diseases Of The Digestive System,Hernia Of Abdominal Cavity,Other Hernia Of Abdominal Cavity Without Mention Of Obstruction Or Gangrene
555,Diseases Of The Digestive System,Noninfective Enteritis And Colitis,Regional Enteritis
556,Diseases Of The Digestive System,Noninfective Enteritis And Colitis,Ulcerative Colitis
557,Diseases Of The Digestive System,Noninfective Enteritis And Colitis,Vascular Insufficiency Of Intestine
558,Diseases Of The Digestive System,Noninfective Enteritis And Colitis,Other Noninfective Gastroenteritis And Colitis
560,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,Intestinal Obstruction Without Mention Of Hernia
562,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,Diverticula Of Intestine
564,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,"Functional Digestive Disorders, Not Elsewhere Classified"
565,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,Anal Fissure And Fistula
566,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,Abscess Of Anal And Rectal Regions
567,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,Peritonitis
568,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,Other Disorders Of Peritoneum
569,Diseases Of The Digestive System,Other Diseases Of Intestines And Peritoneum,Other Disorders Of Intestine
570,Diseases Of The Digestive System,Other Diseases Of Digestive System,Acute And Subacute Necrosis Of Liver
571,Diseases Of The Digestive System,Other Diseases Of Digestive System,Chronic Liver Disease And Cirrhosis
572,Diseases Of The Digestive System,Other Diseases Of Digestive System,Liver Abscess And Sequelae Of Chronic Liver Disease
573,Diseases Of The Digestive System,Other Diseases Of Digestive System,Other Disorders Of Liver
574,Diseases Of The Digestive System,Other Diseases Of Digestive System,Cholelithiasis
575,Diseases Of The Digestive System,Other Diseases Of Digestive System,Other Disorders Of Gallbladder
576,Diseases Of The Digestive System,Other Diseases Of Digestive System,Other Disorders Of Biliary Tract
577,Diseases Of The Digestive System,Other Diseases Of Digestive System,Diseases Of Pancreas
578,Diseases Of The Digestive System,Other Diseases Of Digestive System,Gastrointestinal Hemorrhage
579,Diseases Of The Digestive System,Other Diseases Of Digestive System,Intestinal Malabsorption
580,Diseases Of The Genitourinary System,"Nephritis, Nephrotic Syndrome, And Nephrosis",Acute Glomerulonephritis
581,Diseases Of The Genitourinary System,"Nephritis, Nephrotic Syndrome, And Nephrosis",Nephrotic Syndrome
582,Diseases Of The Genitourinary System,"Nephritis, Nephrotic Syndrome, And Nephrosis",Chronic Glomerulonephritis
583,Diseases Of The Genitourinary System,"Nephritis, Nephrotic Syndrome, And Nephrosis","Nephritis And Nephropathy, Not Specified As Acute Or Chronic"
584,Diseases Of The Genitourinary System,"Nephritis, Nephrotic Syndrome, And Nephrosis",Acute Renal Failure
585,Diseases Of The Genitourinary System,"Nephritis, Nephrotic Syndrome, And Nephrosis",Chronic Renal Failure
586,Diseases Of The Genitourinary System,"Nephritis, Nephrotic Syndrome, And Nephrosis","Renal Failure, Unspecified"
