gender,age_category,map_disease_category,year_group,case,total_case,percentage_of_group
M,15-49 years,Digestive diseases,2008 - 2010,4631,32312,14.332136667491953
M,15-49 years,Digestive diseases,2011 - 2013,2453,16979,14.447258377996347
M,15-49 years,Digestive diseases,2014 - 2016,1753,12961,13.525190957487847
M,15-49 years,Digestive diseases,2017 - 2019,1475,9726,15.16553567756529
M,15-49 years,Digestive diseases,2020 - 2022,913,5999,15.219203200533421
M,15-49 years,Enteric infections,2008 - 2010,223,32312,0.690146075761327
M,15-49 years,Enteric infections,2011 - 2013,132,16979,0.7774309441074269
M,15-49 years,Enteric infections,2014 - 2016,90,12961,0.6943908649023994
M,15-49 years,Enteric infections,2017 - 2019,52,9726,0.5346493933785729
M,15-49 years,Enteric infections,2020 - 2022,21,5999,0.3500583430571762
M,15-49 years,HIV/AIDS and sexually transmitted infections,2008 - 2010,296,32312,0.9160683337459767
M,15-49 years,HIV/AIDS and sexually transmitted infections,2011 - 2013,97,16979,0.5712939513516697
M,15-49 years,HIV/AIDS and sexually transmitted infections,2014 - 2016,74,12961,0.5709436000308618
M,15-49 years,HIV/AIDS and sexually transmitted infections,2017 - 2019,31,9726,0.3187332922064569
M,15-49 years,HIV/AIDS and sexually transmitted infections,2020 - 2022,40,5999,0.6667777962993832
M,15-49 years,Maternal and neonatal disorders,2008 - 2010,23,32312,0.07118098539242387
M,15-49 years,Maternal and neonatal disorders,2011 - 2013,34,16979,0.2002473643913069
M,15-49 years,Maternal and neonatal disorders,2014 - 2016,47,12961,0.3626263405601419
M,15-49 years,Maternal and neonatal disorders,2017 - 2019,23,9726,0.23647953937898417
M,15-49 years,Maternal and neonatal disorders,2020 - 2022,13,5999,0.21670278379729954
M,15-49 years,Mental disorders,2008 - 2010,4701,32312,14.548774449121069
M,15-49 years,Mental disorders,2011 - 2013,2972,16979,17.503975499146005
M,15-49 years,Mental disorders,2014 - 2016,2067,12961,15.947843530591776
M,15-49 years,Mental disorders,2017 - 2019,1802,9726,18.52765782438824
M,15-49 years,Mental disorders,2020 - 2022,996,5999,16.60276712785464
M,15-49 years,Musculoskeletal disorders,2008 - 2010,1570,32312,4.85887595939589
M,15-49 years,Musculoskeletal disorders,2011 - 2013,836,16979,4.92372931268037
M,15-49 years,Musculoskeletal disorders,2014 - 2016,641,12961,4.9456060489159785
M,15-49 years,Musculoskeletal disorders,2017 - 2019,338,9726,3.4752210569607236
M,15-49 years,Musculoskeletal disorders,2020 - 2022,225,5999,3.7506251041840306
M,15-49 years,Neglected tropical diseases and malaria,2008 - 2010,42,32312,0.12998266897746968
M,15-49 years,Neglected tropical diseases and malaria,2011 - 2013,24,16979,0.14135108074680489
M,15-49 years,Neglected tropical diseases and malaria,2014 - 2016,22,12961,0.16973998919836433
M,15-49 years,Neglected tropical diseases and malaria,2017 - 2019,18,9726,0.1850709438618137
M,15-49 years,Neglected tropical diseases and malaria,2020 - 2022,12,5999,0.20003333888981498
M,15-49 years,Neoplasms,2008 - 2010,1032,32312,3.1938598663035402
M,15-49 years,Neoplasms,2011 - 2013,617,16979,3.6339007008657753
M,15-49 years,Neoplasms,2014 - 2016,414,12961,3.1941979785510375
M,15-49 years,Neoplasms,2017 - 2019,304,9726,3.1256426074439645
M,15-49 years,Neoplasms,2020 - 2022,260,5999,4.334055675945991
M,15-49 years,Neurological disorders,2008 - 2010,1312,32312,4.060410992820005
M,15-49 years,Neurological disorders,2011 - 2013,681,16979,4.010836916190589
M,15-49 years,Neurological disorders,2014 - 2016,555,12961,4.282077000231464
M,15-49 years,Neurological disorders,2017 - 2019,414,9726,4.256631708821715
M,15-49 years,Neurological disorders,2020 - 2022,254,5999,4.234039006501083
M,15-49 years,Nutritional deficiencies,2008 - 2010,54,32312,0.16712057439960387
M,15-49 years,Nutritional deficiencies,2011 - 2013,19,16979,0.11190293892455387
M,15-49 years,Nutritional deficiencies,2014 - 2016,22,12961,0.16973998919836433
M,15-49 years,Nutritional deficiencies,2017 - 2019,23,9726,0.23647953937898417
M,15-49 years,Nutritional deficiencies,2020 - 2022,16,5999,0.26671111851975327
M,15-49 years,Other infectious diseases,2008 - 2010,860,32312,2.6615498885862836
M,15-49 years,Other infectious diseases,2011 - 2013,518,16979,3.0508274927852055
M,15-49 years,Other infectious diseases,2014 - 2016,464,12961,3.5799706812745926
M,15-49 years,Other infectious diseases,2017 - 2019,359,9726,3.69113715813284
M,15-49 years,Other infectious diseases,2020 - 2022,265,5999,4.417402900483413
M,15-49 years,Other non-communicable diseases,2008 - 2010,1504,32312,4.654617479574152
M,15-49 years,Other non-communicable diseases,2011 - 2013,853,16979,5.023852994876023
M,15-49 years,Other non-communicable diseases,2014 - 2016,734,12961,5.663143275981791
M,15-49 years,Other non-communicable diseases,2017 - 2019,485,9726,4.986633765165536
M,15-49 years,Other non-communicable diseases,2020 - 2022,304,5999,5.067511251875312
M,15-49 years,Respiratory infections and tuberculosis,2008 - 2010,982,32312,3.0391185937113145
M,15-49 years,Respiratory infections and tuberculosis,2011 - 2013,462,16979,2.721008304375994
M,15-49 years,Respiratory infections and tuberculosis,2014 - 2016,348,12961,2.6849780109559447
M,15-49 years,Respiratory infections and tuberculosis,2017 - 2019,218,9726,2.2414147645486326
M,15-49 years,Respiratory infections and tuberculosis,2020 - 2022,245,5999,4.084014002333722
M,15-49 years,Self-harm and interpersonal violence,2008 - 2010,773,32312,2.392300074275811
M,15-49 years,Self-harm and interpersonal violence,2011 - 2013,476,16979,2.8034631014782967
M,15-49 years,Self-harm and interpersonal violence,2014 - 2016,552,12961,4.25893063806805
M,15-49 years,Self-harm and interpersonal violence,2017 - 2019,506,9726,5.202549866337652
M,15-49 years,Self-harm and interpersonal violence,2020 - 2022,326,5999,5.434239039839974
M,15-49 years,Sense organ diseases,2008 - 2010,122,32312,0.37756870512503093
M,15-49 years,Sense organ diseases,2011 - 2013,93,16979,0.5477354378938689
M,15-49 years,Sense organ diseases,2014 - 2016,73,12961,0.5632281459763907
M,15-49 years,Sense organ diseases,2017 - 2019,62,9726,0.6374665844129138
M,15-49 years,Sense organ diseases,2020 - 2022,22,5999,0.36672778796466077
M,15-49 years,Skin and subcutaneous diseases,2008 - 2010,1296,32312,4.0108937855904925
M,15-49 years,Skin and subcutaneous diseases,2011 - 2013,676,16979,3.981388774368337
M,15-49 years,Skin and subcutaneous diseases,2014 - 2016,457,12961,3.5259625028932957
M,15-49 years,Skin and subcutaneous diseases,2017 - 2019,365,9726,3.7528274727534443
M,15-49 years,Skin and subcutaneous diseases,2020 - 2022,152,5999,2.533755625937656
M,15-49 years,Substance use disorders,2008 - 2010,3754,32312,11.617974746224313
M,15-49 years,Substance use disorders,2011 - 2013,1738,16979,10.236174097414453
M,15-49 years,Substance use disorders,2014 - 2016,1404,12961,10.832497492477431
M,15-49 years,Substance use disorders,2017 - 2019,838,9726,8.61608060867777
M,15-49 years,Substance use disorders,2020 - 2022,446,5999,7.434572428738123
M,15-49 years,Transport injuries,2008 - 2010,481,32312,1.488611042337212
M,15-49 years,Transport injuries,2011 - 2013,356,16979,2.096707697744272
M,15-49 years,Transport injuries,2014 - 2016,238,12961,1.8362780649641233
M,15-49 years,Transport injuries,2017 - 2019,189,9726,1.9432449105490437
M,15-49 years,Transport injuries,2020 - 2022,181,5999,3.0171695282547093
M,15-49 years,Unintentional injuries,2008 - 2010,1611,32312,4.985763802921515
M,15-49 years,Unintentional injuries,2011 - 2013,935,16979,5.506802520760941
M,15-49 years,Unintentional injuries,2014 - 2016,677,12961,5.223362394876938
M,15-49 years,Unintentional injuries,2017 - 2019,684,9726,7.03269586674892
M,15-49 years,Unintentional injuries,2020 - 2022,405,5999,6.7511251875312555
M,50-69 years,Cardiovascular diseases,2008 - 2010,9288,45245,20.52823516410653
M,50-69 years,Cardiovascular diseases,2011 - 2013,5279,24140,21.868268434134215
M,50-69 years,Cardiovascular diseases,2014 - 2016,4622,19481,23.725681433191316
M,50-69 years,Cardiovascular diseases,2017 - 2019,3502,14509,24.136742711420496
M,50-69 years,Cardiovascular diseases,2020 - 2022,2086,8698,23.98252471832605
M,50-69 years,Chronic respiratory diseases,2008 - 2010,3554,45245,7.855011603492098
M,50-69 years,Chronic respiratory diseases,2011 - 2013,1548,24140,6.412593206296603
M,50-69 years,Chronic respiratory diseases,2014 - 2016,708,19481,3.6343103536779426
M,50-69 years,Chronic respiratory diseases,2017 - 2019,420,14509,2.8947549796677925
M,50-69 years,Chronic respiratory diseases,2020 - 2022,225,8698,2.586801563577834
M,50-69 years,Diabetes and kidney diseases,2008 - 2010,3862,45245,8.535749806608466
M,50-69 years,Diabetes and kidney diseases,2011 - 2013,1486,24140,6.155758077879039
M,50-69 years,Diabetes and kidney diseases,2014 - 2016,1087,19481,5.579795698372774
M,50-69 years,Diabetes and kidney diseases,2017 - 2019,829,14509,5.713694947963333
M,50-69 years,Diabetes and kidney diseases,2020 - 2022,446,8698,5.127615543803174
M,50-69 years,Digestive diseases,2008 - 2010,5763,45245,12.737319040777987
M,50-69 years,Digestive diseases,2011 - 2013,3313,24140,13.724109362054682
M,50-69 years,Digestive diseases,2014 - 2016,2688,19481,13.798059647862019
M,50-69 years,Digestive diseases,2017 - 2019,1851,14509,12.757598731821629
M,50-69 years,Digestive diseases,2020 - 2022,1039,8698,11.945274775810532
M,50-69 years,Enteric infections,2008 - 2010,381,45245,0.84208199801083
M,50-69 years,Enteric infections,2011 - 2013,146,24140,0.6048053024026512
M,50-69 years,Enteric infections,2014 - 2016,112,19481,0.5749191519942508
M,50-69 years,Enteric infections,2017 - 2019,86,14509,0.592735543455786
M,50-69 years,Enteric infections,2020 - 2022,35,8698,0.4023913543343297
M,50-69 years,HIV/AIDS and sexually transmitted infections,2008 - 2010,169,45245,0.37352193612553874
M,50-69 years,HIV/AIDS and sexually transmitted infections,2011 - 2013,83,24140,0.34382767191383595
M,50-69 years,HIV/AIDS and sexually transmitted infections,2014 - 2016,45,19481,0.2309943021405472
M,50-69 years,HIV/AIDS and sexually transmitted infections,2017 - 2019,18,14509,0.12406092770004824
M,50-69 years,HIV/AIDS and sexually transmitted infections,2020 - 2022,28,8698,0.3219130834674638
M,50-69 years,Maternal and neonatal disorders,2008 - 2010,29,45245,0.06409548016355399
M,50-69 years,Maternal and neonatal disorders,2011 - 2013,18,24140,0.07456503728251865
M,50-69 years,Maternal and neonatal disorders,2014 - 2016,28,19481,0.1437297879985627
M,50-69 years,Maternal and neonatal disorders,2017 - 2019,16,14509,0.11027638017782067
M,50-69 years,Maternal and neonatal disorders,2020 - 2022,15,8698,0.17245343757185558
M,50-69 years,Mental disorders,2008 - 2010,1940,45245,4.287766604044646
M,50-69 years,Mental disorders,2011 - 2013,809,24140,3.3512841756420877
M,50-69 years,Mental disorders,2014 - 2016,578,19481,2.966993480827473
M,50-69 years,Mental disorders,2017 - 2019,447,14509,3.0808463712178646
M,50-69 years,Mental disorders,2020 - 2022,244,8698,2.8052425845021842
M,50-69 years,Musculoskeletal disorders,2008 - 2010,2631,45245,5.815007183114156
M,50-69 years,Musculoskeletal disorders,2011 - 2013,1404,24140,5.816072908036454
M,50-69 years,Musculoskeletal disorders,2014 - 2016,1034,19481,5.307735742518351
M,50-69 years,Musculoskeletal disorders,2017 - 2019,790,14509,5.444896271279895
M,50-69 years,Musculoskeletal disorders,2020 - 2022,454,8698,5.219590710508163
M,50-69 years,Neglected tropical diseases and malaria,2008 - 2010,46,45245,0.10166869267322357
M,50-69 years,Neglected tropical diseases and malaria,2011 - 2013,23,24140,0.09527754763877382
M,50-69 years,Neglected tropical diseases and malaria,2014 - 2016,29,19481,0.1488629947127971
M,50-69 years,Neglected tropical diseases and malaria,2017 - 2019,24,14509,0.16541457026673098
M,50-69 years,Neglected tropical diseases and malaria,2020 - 2022,15,8698,0.17245343757185558
M,50-69 years,Neoplasms,2008 - 2010,3128,45245,6.913471101779202
M,50-69 years,Neoplasms,2011 - 2013,2303,24140,9.540182270091135
M,50-69 years,Neoplasms,2014 - 2016,1866,19481,9.578563728761358
M,50-69 years,Neoplasms,2017 - 2019,1381,14509,9.518230064098146
M,50-69 years,Neoplasms,2020 - 2022,971,8698,11.163485858818119
M,50-69 years,Neurological disorders,2008 - 2010,1551,45245,3.4280030942645596
M,50-69 years,Neurological disorders,2011 - 2013,799,24140,3.309859154929577
M,50-69 years,Neurological disorders,2014 - 2016,676,19481,3.4700477388224424
M,50-69 years,Neurological disorders,2017 - 2019,487,14509,3.3565373216624166
M,50-69 years,Neurological disorders,2020 - 2022,320,8698,3.6790066681995857
M,50-69 years,Nutritional deficiencies,2008 - 2010,137,45245,0.3027958890485136
M,50-69 years,Nutritional deficiencies,2011 - 2013,74,24140,0.30654515327257664
M,50-69 years,Nutritional deficiencies,2014 - 2016,68,19481,0.349058056567938
M,50-69 years,Nutritional deficiencies,2017 - 2019,55,14509,0.37907505686125853
M,50-69 years,Nutritional deficiencies,2020 - 2022,31,8698,0.3564037709818349
M,50-69 years,Other infectious diseases,2008 - 2010,1934,45245,4.274505470217703
M,50-69 years,Other infectious diseases,2011 - 2013,1149,24140,4.75973487986744
M,50-69 years,Other infectious diseases,2014 - 2016,932,19481,4.784148657666444
M,50-69 years,Other infectious diseases,2017 - 2019,674,14509,4.645392514990696
M,50-69 years,Other infectious diseases,2020 - 2022,441,8698,5.070131064612555
M,50-69 years,Other non-communicable diseases,2008 - 2010,2711,45245,5.991822300806719
M,50-69 years,Other non-communicable diseases,2011 - 2013,1466,24140,6.072908036454018
M,50-69 years,Other non-communicable diseases,2014 - 2016,1101,19481,5.651660592372055
M,50-69 years,Other non-communicable diseases,2017 - 2019,819,14509,5.644772210352196
M,50-69 years,Other non-communicable diseases,2020 - 2022,506,8698,5.817429294090595
M,50-69 years,Respiratory infections and tuberculosis,2008 - 2010,1645,45245,3.635760857553321
M,50-69 years,Respiratory infections and tuberculosis,2011 - 2013,760,24140,3.1483015741507874
M,50-69 years,Respiratory infections and tuberculosis,2014 - 2016,475,19481,2.4382731892613316
M,50-69 years,Respiratory infections and tuberculosis,2017 - 2019,379,14509,2.6121717554621267
M,50-69 years,Respiratory infections and tuberculosis,2020 - 2022,277,8698,3.184640147160267
M,50-69 years,Self-harm and interpersonal violence,2008 - 2010,708,45245,1.56481379157918
M,50-69 years,Self-harm and interpersonal violence,2011 - 2013,592,24140,2.452361226180613
M,50-69 years,Self-harm and interpersonal violence,2014 - 2016,781,19481,4.009034443817053
M,50-69 years,Self-harm and interpersonal violence,2017 - 2019,831,14509,5.727479495485561
M,50-69 years,Self-harm and interpersonal violence,2020 - 2022,463,8698,5.3230627730512765
M,50-69 years,Sense organ diseases,2008 - 2010,181,45245,0.4000442037794231
M,50-69 years,Sense organ diseases,2011 - 2013,112,24140,0.463960231980116
M,50-69 years,Sense organ diseases,2014 - 2016,80,19481,0.4106565371387506
M,50-69 years,Sense organ diseases,2017 - 2019,59,14509,0.40664415190571374
M,50-69 years,Sense organ diseases,2020 - 2022,39,8698,0.4483789376868246
M,50-69 years,Skin and subcutaneous diseases,2008 - 2010,1357,45245,2.999226433860095
M,50-69 years,Skin and subcutaneous diseases,2011 - 2013,600,24140,2.4855012427506216
M,50-69 years,Skin and subcutaneous diseases,2014 - 2016,399,19481,2.0481494789795183
M,50-69 years,Skin and subcutaneous diseases,2017 - 2019,247,14509,1.7023916189951065
M,50-69 years,Skin and subcutaneous diseases,2020 - 2022,148,8698,1.7015405840423086
M,50-69 years,Substance use disorders,2008 - 2010,2090,45245,4.619294949718201
M,50-69 years,Substance use disorders,2011 - 2013,727,24140,3.0115990057995026
M,50-69 years,Substance use disorders,2014 - 2016,836,19481,4.291360813099943
M,50-69 years,Substance use disorders,2017 - 2019,362,14509,2.4950031015231926
M,50-69 years,Substance use disorders,2020 - 2022,158,8698,1.8165095424235456
M,50-69 years,Transport injuries,2008 - 2010,172,45245,0.3801525030390098
M,50-69 years,Transport injuries,2011 - 2013,140,24140,0.579950289975145
M,50-69 years,Transport injuries,2014 - 2016,79,19481,0.4055233304245162
M,50-69 years,Transport injuries,2017 - 2019,84,14509,0.5789509959335585
M,50-69 years,Transport injuries,2020 - 2022,86,8698,0.9887330420786388
M,50-69 years,Unintentional injuries,2008 - 2010,1968,45245,4.349651895237043
M,50-69 years,Unintentional injuries,2011 - 2013,1309,24140,5.422535211267605
M,50-69 years,Unintentional injuries,2014 - 2016,1257,19481,6.452440839792619
M,50-69 years,Unintentional injuries,2017 - 2019,1148,14509,7.912330277758632
M,50-69 years,Unintentional injuries,2020 - 2022,671,8698,7.714417107381006
M,70+ years,Cardiovascular diseases,2008 - 2010,8134,27193,29.912109734122755
M,70+ years,Cardiovascular diseases,2011 - 2013,4520,14497,31.178864592674348
M,70+ years,Cardiovascular diseases,2014 - 2016,4018,12273,32.73853173633178
M,70+ years,Cardiovascular diseases,2017 - 2019,3145,10356,30.36886828891464
M,70+ years,Cardiovascular diseases,2020 - 2022,2074,7010,29.586305278174034
M,70+ years,Chronic respiratory diseases,2008 - 2010,2058,27193,7.568124149597323
M,70+ years,Chronic respiratory diseases,2011 - 2013,789,14497,5.442505345933641
M,70+ years,Chronic respiratory diseases,2014 - 2016,497,12273,4.049539639859855
M,70+ years,Chronic respiratory diseases,2017 - 2019,350,10356,3.379683275395906
M,70+ years,Chronic respiratory diseases,2020 - 2022,212,7010,3.0242510699001426
M,70+ years,Diabetes and kidney diseases,2008 - 2010,2083,27193,7.660059574155113
M,70+ years,Diabetes and kidney diseases,2011 - 2013,983,14497,6.780713251017452
M,70+ years,Diabetes and kidney diseases,2014 - 2016,793,12273,6.461337896194899
M,70+ years,Diabetes and kidney diseases,2017 - 2019,682,10356,6.585554268057164
M,70+ years,Diabetes and kidney diseases,2020 - 2022,452,7010,6.447931526390869
M,70+ years,Digestive diseases,2008 - 2010,3222,27193,11.848637517008054
M,70+ years,Digestive diseases,2011 - 2013,1722,14497,11.878319652341863
M,70+ years,Digestive diseases,2014 - 2016,1354,12273,11.032347429316387
M,70+ years,Digestive diseases,2017 - 2019,1103,10356,10.650830436461954
M,70+ years,Digestive diseases,2020 - 2022,667,7010,9.514978601997147
M,70+ years,Enteric infections,2008 - 2010,237,27193,0.871547824807855
M,70+ years,Enteric infections,2011 - 2013,82,14497,0.5656342691591364
M,70+ years,Enteric infections,2014 - 2016,57,12273,0.46443412368614034
M,70+ years,Enteric infections,2017 - 2019,48,10356,0.4634994206257242
M,70+ years,Enteric infections,2020 - 2022,22,7010,0.31383737517831667
M,70+ years,HIV/AIDS and sexually transmitted infections,2008 - 2010,11,27193,0.04045158680542787
M,70+ years,HIV/AIDS and sexually transmitted infections,2011 - 2013,2,14497,0.013795957784369178
M,70+ years,HIV/AIDS and sexually transmitted infections,2014 - 2016,2,12273,0.016295934164425978
M,70+ years,HIV/AIDS and sexually transmitted infections,2017 - 2019,3,10356,0.028968713789107762
M,70+ years,HIV/AIDS and sexually transmitted infections,2020 - 2022,8,7010,0.11412268188302425
M,70+ years,Maternal and neonatal disorders,2008 - 2010,15,27193,0.05516125473467436
M,70+ years,Maternal and neonatal disorders,2011 - 2013,2,14497,0.013795957784369178
M,70+ years,Maternal and neonatal disorders,2014 - 2016,11,12273,0.08962763790434287
M,70+ years,Maternal and neonatal disorders,2017 - 2019,9,10356,0.08690614136732329
M,70+ years,Maternal and neonatal disorders,2020 - 2022,9,7010,0.12838801711840228
M,70+ years,Mental disorders,2008 - 2010,644,27193,2.368256536608686
M,70+ years,Mental disorders,2011 - 2013,287,14497,1.979719942056977
M,70+ years,Mental disorders,2014 - 2016,172,12273,1.401450338140634
M,70+ years,Mental disorders,2017 - 2019,71,10356,0.6855928930088837
M,70+ years,Mental disorders,2020 - 2022,51,7010,0.7275320970042796
M,70+ years,Musculoskeletal disorders,2008 - 2010,1053,27193,3.87232008237414
M,70+ years,Musculoskeletal disorders,2011 - 2013,662,14497,4.566462026626199
M,70+ years,Musculoskeletal disorders,2014 - 2016,449,12273,3.6584372199136315
M,70+ years,Musculoskeletal disorders,2017 - 2019,398,10356,3.8431826960216298
M,70+ years,Musculoskeletal disorders,2020 - 2022,310,7010,4.42225392296719
M,70+ years,Neglected tropical diseases and malaria,2008 - 2010,18,27193,0.06619350568160924
M,70+ years,Neglected tropical diseases and malaria,2011 - 2013,7,14497,0.048285852245292124
M,70+ years,Neglected tropical diseases and malaria,2014 - 2016,6,12273,0.048887802493277926
M,70+ years,Neglected tropical diseases and malaria,2017 - 2019,14,10356,0.13518733101583622
M,70+ years,Neglected tropical diseases and malaria,2020 - 2022,11,7010,0.15691868758915833
M,70+ years,Neoplasms,2008 - 2010,1754,27193,6.450189386974589
M,70+ years,Neoplasms,2011 - 2013,1119,14497,7.718838380354557
M,70+ years,Neoplasms,2014 - 2016,989,12273,8.058339444308645
M,70+ years,Neoplasms,2017 - 2019,943,10356,9.10583236770954
M,70+ years,Neoplasms,2020 - 2022,707,7010,10.085592011412269
M,70+ years,Neurological disorders,2008 - 2010,1057,27193,3.887029750303387
M,70+ years,Neurological disorders,2011 - 2013,641,14497,4.4216044698903225
M,70+ years,Neurological disorders,2014 - 2016,558,12273,4.546565631874847
M,70+ years,Neurological disorders,2017 - 2019,461,10356,4.451525685592893
M,70+ years,Neurological disorders,2020 - 2022,339,7010,4.835948644793152
M,70+ years,Nutritional deficiencies,2008 - 2010,105,27193,0.38612878314272053
M,70+ years,Nutritional deficiencies,2011 - 2013,56,14497,0.386286817962337
M,70+ years,Nutritional deficiencies,2014 - 2016,50,12273,0.40739835411064934
M,70+ years,Nutritional deficiencies,2017 - 2019,49,10356,0.4731556585554268
M,70+ years,Nutritional deficiencies,2020 - 2022,34,7010,0.48502139800285304
M,70+ years,Other infectious diseases,2008 - 2010,1105,27193,4.063545765454345
M,70+ years,Other infectious diseases,2011 - 2013,752,14497,5.187280126922811
M,70+ years,Other infectious diseases,2014 - 2016,743,12273,6.05393954208425
M,70+ years,Other infectious diseases,2017 - 2019,574,10356,5.542680571649285
M,70+ years,Other infectious diseases,2020 - 2022,411,7010,5.863052781740371
M,70+ years,Other non-communicable diseases,2008 - 2010,2056,27193,7.5607693156327
M,70+ years,Other non-communicable diseases,2011 - 2013,1004,14497,6.925570807753329
M,70+ years,Other non-communicable diseases,2014 - 2016,814,12273,6.632445204921372
M,70+ years,Other non-communicable diseases,2017 - 2019,672,10356,6.488991888760139
M,70+ years,Other non-communicable diseases,2020 - 2022,399,7010,5.6918687589158345
M,70+ years,Respiratory infections and tuberculosis,2008 - 2010,1404,27193,5.163093443165521
M,70+ years,Respiratory infections and tuberculosis,2011 - 2013,641,14497,4.4216044698903225
M,70+ years,Respiratory infections and tuberculosis,2014 - 2016,431,12273,3.511773812433798
M,70+ years,Respiratory infections and tuberculosis,2017 - 2019,294,10356,2.8389339513325607
M,70+ years,Respiratory infections and tuberculosis,2020 - 2022,254,7010,3.62339514978602
M,70+ years,Self-harm and interpersonal violence,2008 - 2010,212,27193,0.7796124002500644
M,70+ years,Self-harm and interpersonal violence,2011 - 2013,201,14497,1.3864937573291027
M,70+ years,Self-harm and interpersonal violence,2014 - 2016,434,12273,3.5362177136804367
M,70+ years,Self-harm and interpersonal violence,2017 - 2019,556,10356,5.368868288914639
M,70+ years,Self-harm and interpersonal violence,2020 - 2022,344,7010,4.907275320970043
M,70+ years,Sense organ diseases,2008 - 2010,152,27193,0.5589673813113669
M,70+ years,Sense organ diseases,2011 - 2013,60,14497,0.41387873353107535
M,70+ years,Sense organ diseases,2014 - 2016,46,12273,0.3748064857817974
M,70+ years,Sense organ diseases,2017 - 2019,34,10356,0.328312089609888
M,70+ years,Sense organ diseases,2020 - 2022,21,7010,0.2995720399429387
M,70+ years,Skin and subcutaneous diseases,2008 - 2010,584,27193,2.1476115176699886
M,70+ years,Skin and subcutaneous diseases,2011 - 2013,275,14497,1.8969441953507624
M,70+ years,Skin and subcutaneous diseases,2014 - 2016,186,12273,1.5155218772916157
M,70+ years,Skin and subcutaneous diseases,2017 - 2019,128,10356,1.2359984550019312
M,70+ years,Skin and subcutaneous diseases,2020 - 2022,79,7010,1.1269614835948645
M,70+ years,Substance use disorders,2008 - 2010,143,27193,0.5258706284705623
M,70+ years,Substance use disorders,2011 - 2013,38,14497,0.2621231979030144
M,70+ years,Substance use disorders,2014 - 2016,60,12273,0.48887802493277926
M,70+ years,Substance use disorders,2017 - 2019,31,10356,0.29934337582078024
M,70+ years,Substance use disorders,2020 - 2022,22,7010,0.31383737517831667
M,70+ years,Transport injuries,2008 - 2010,60,27193,0.22064501893869745
M,70+ years,Transport injuries,2011 - 2013,23,14497,0.15865351452024556
M,70+ years,Transport injuries,2014 - 2016,25,12273,0.20369917705532467
M,70+ years,Transport injuries,2017 - 2019,20,10356,0.19312475859405176
M,70+ years,Transport injuries,2020 - 2022,15,7010,0.21398002853067047
M,70+ years,Unintentional injuries,2008 - 2010,1086,27193,3.993674842790424
M,70+ years,Unintentional injuries,2011 - 2013,631,14497,4.352624680968476
M,70+ years,Unintentional injuries,2014 - 2016,578,12273,4.709524973519106
M,70+ years,Unintentional injuries,2017 - 2019,771,10356,7.444959443800696
M,70+ years,Unintentional injuries,2020 - 2022,569,7010,8.1169757489301
Both,15-49 years,Cardiovascular diseases,2008 - 2010,5024,78609,6.3911256980752835
Both,15-49 years,Cardiovascular diseases,2011 - 2013,2356,39437,5.974085249892233
Both,15-49 years,Cardiovascular diseases,2014 - 2016,2291,30126,7.604726814047666
Both,15-49 years,Cardiovascular diseases,2017 - 2019,1666,22237,7.492017808157575
Both,15-49 years,Cardiovascular diseases,2020 - 2022,1050,12858,8.166122258516099
Both,15-49 years,Chronic respiratory diseases,2008 - 2010,5052,78609,6.42674502919513
Both,15-49 years,Chronic respiratory diseases,2011 - 2013,1764,39437,4.472956867915916
Both,15-49 years,Chronic respiratory diseases,2014 - 2016,856,30126,2.8413994556197304
Both,15-49 years,Chronic respiratory diseases,2017 - 2019,457,22237,2.0551333363313398
Both,15-49 years,Chronic respiratory diseases,2020 - 2022,247,12858,1.9209830455747396
Both,15-49 years,Diabetes and kidney diseases,2008 - 2010,3803,78609,4.8378684374562715
Both,15-49 years,Diabetes and kidney diseases,2011 - 2013,1242,39437,3.1493267743489617
Both,15-49 years,Diabetes and kidney diseases,2014 - 2016,942,30126,3.126867157936666
Both,15-49 years,Diabetes and kidney diseases,2017 - 2019,608,22237,2.734181769123533
Both,15-49 years,Diabetes and kidney diseases,2020 - 2022,287,12858,2.232073417327734
Both,15-49 years,Digestive diseases,2008 - 2010,11227,78609,14.282079660089812
Both,15-49 years,Digestive diseases,2011 - 2013,5423,39437,13.751045972056698
Both,15-49 years,Digestive diseases,2014 - 2016,3675,30126,12.198765186217884
Both,15-49 years,Digestive diseases,2017 - 2019,2767,22237,12.443225255205288
Both,15-49 years,Digestive diseases,2020 - 2022,1750,12858,13.610203764193498
Both,15-49 years,Enteric infections,2008 - 2010,660,78609,0.8395985192535207
Both,15-49 years,Enteric infections,2011 - 2013,307,39437,0.7784567791667724
Both,15-49 years,Enteric infections,2014 - 2016,215,30126,0.7136692557923388
Both,15-49 years,Enteric infections,2017 - 2019,130,22237,0.5846112335297028
Both,15-49 years,Enteric infections,2020 - 2022,44,12858,0.3421994089282937
Both,15-49 years,HIV/AIDS and sexually transmitted infections,2008 - 2010,527,78609,0.6704066964342505
Both,15-49 years,HIV/AIDS and sexually transmitted infections,2011 - 2013,238,39437,0.60349418059183
Both,15-49 years,HIV/AIDS and sexually transmitted infections,2014 - 2016,153,30126,0.5078669587731528
Both,15-49 years,HIV/AIDS and sexually transmitted infections,2017 - 2019,94,22237,0.422718891936862
Both,15-49 years,HIV/AIDS and sexually transmitted infections,2020 - 2022,87,12858,0.6766215585627624
